,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
48,Allied Properties Real Estate Investment Trust,Q697852,0,False,nothing,51.05375000000001,1,0.5,1.0
49,Allison Transmission Holdings Inc,Q2036530,0,True,QUIETLY DO GOOD WORK Our commitment to be a responsible and compassionate corporate citizen CEO ALLISON AND We were a sponsor of the 2020 Integrating Women Leaders Fall Virtual Conference which focused on empowering people from around the globe with inspiration and strategies to accelerate the advancement of proudly celebrated Womens Equality Day through internal and external videos highlighting many of our employees and leaders across the globe who Choose to Challenge gender biases and Allison donated 193 units of blood to Vers it i Blood Center of were a key sponsor of the Earth Day Indiana than 80 Allison employees volunteered to pack over 12 000 meals for Rise Against Hunger a non profit organization with a mission to end world hunger by than 430 people joined Team Allison holding the title of the largest team for the fourth straight year to participate in the main fundraising event Indianapolis has for its primary shelter for people without and its employees donated over 550 000 to the 2020 United Way of Central Indiana Annual Campaign,9.2,2,2.0,2.0
50,Alphabet Inc,Q20800404,0,False,nothing,-7.686999999999998,-1,-1.0,-1.0
51,Alstom SA,Q309084,0,False,nothing,81.90727272727273,1,1.0,1.0
52,Altice USA Inc,Q644289,0,False,nothing,-70.21000000000001,-1,-1.0,-1.0
53,Altium Ltd,Q1066620,0,False,nothing,3.344999999999999,1,1.0,1.0
54,Amadeus IT Group SA,Q696061,0,False,nothing,0.0,-1,-1.0,-1.0
55,Amazon.com Inc,Q3884,0,False,nothing,29.50431309904153,1,1.0,1.0
56,AMC Entertainment Holdings Inc,Q294721,0,False,nothing,-41.481923076923074,-1,-1.0,-1.0
57,American Axle & Manufacturing Holdings Inc,Q4743120,0,True,Our rst recruiting event in 2019 drew more than 300 IEC A hosts various seminars on subjects such as gender equality and womens rights,24.360000000000003,2,2.0,2.0
58,American Express Co,Q194360,0,True,They add value in many ways including cultures and communities and mentorship Supporting business initiatives by providing insight and thought leadership to drive product innovation Providing input on recruitment initiatives Promoting volunteer is m in the communities we serve Enhancing the American Express brand by establishing connections with strategic external partners OUR COMMITMENT TO GENDER EQUALITY AND EQUAL PAY We are committed to supporting the advancement of women at American Express and are proud of the fact that women make up more than half of our global across at leadership levels,2.204705882352939,2,2.0,2.0
59,American Express Co,Q194360,0,True,globe highlighting the role inclusive leadership plays in advancing our ability to caregivers and families faith gender gender identity and sexual orientation and promote a culture of are taking proactive steps to promote a diverse and inclusive workplace Leveraging the strength of our Colleague Networks with shared backgrounds and interests to engage with and learn from each other,2.204705882352939,2,0.21052631578947367,2.0
60,American International Group Inc,Q212235,0,False,nothing,-1103.2955555555554,-1,-1.0,-1.0
61,American Tower Corp,Q4745263,0,False,nothing,-9.5,-1,0.5,-0.5
62,American Water Works Co Inc,Q467238,0,False,nothing,559.81,1,1.0,1.0
63,Amorepacific Corp,Q490142,0,True,We will also carry out activities to improve the quality of education and a culture of gender equality while supporting womens health and well being economic empowerment and independence to build a society in which all women and their families can enjoy a truly beautiful and healthy we will build a circular economy by enhancing resource efficiency throughout all processes in our corporate Group seeks to contribute to protecting nature for both current and future generations,11.923333333333332,2,2.0,2.0
64,Amorepacific Corp,Q490142,0,True,In particular as a corporation that has grown and developed together with women A more pacific Group will continue our tireless effort in promoting gender equality SD G 5,11.923333333333332,2,2.0,2.0
65,Amorepacific Corp,Q490142,0,True,As a company that has grown by serving women we try to promote the UNs Sustainable Development Goal 5 Gender Equality and we believe that making womens lives more beautiful is one way to create a more beautiful are dedicated to beautifying the lives of women not only in Korea but also in countries with an A more pac ic presence such as in China Singapore Hong Kong Thailand Vietnam and Malaysia,11.923333333333332,2,2.0,2.0
66,Amorepacific Corp,Q490142,0,True,Against this backdrop we are currently engaged in various activities to help women stand on their own financially and achieve gender China Taiwan Hong Kong Vietnam Singapore makeup your Life Pink Ribbon Campaign Hope Store Beautiful Life Makeup ARTIST on the Go makeup your Life MORI Run Screening for Breast Cervical Cancer makeup your Life Pink Heels Race Campaign makeup your Life makeup your Life makeup your Life Program The 20 by 20 Commitment is our promise that we will beautify womens lives by supporting the health well being and economic empowerment of 200 000 women by 2020,11.923333333333332,2,2.0,2.0
67,ams AG,Q477875,0,False,nothing,-1.2000000000000002,-1,-1.0,-1.0
68,Analog Devices Inc,Q484930,0,False,nothing,15.64,1,1.0,1.0
69,ANDRITZ AG,Q442018,0,False,nothing,42.191428571428574,1,1.0,1.0
70,Anglo American PLC,Q541451,0,False,nothing,-108.16249999999998,-1,-1.0,-1.0
71,Anheuser-Busch InBev SA/NV,Q128738,0,False,nothing,51.95142857142857,1,1.0,1.0
72,ANSYS Inc,Q295774,0,False,nothing,176.66,1,1.0,1.0
73,Antero Resources Corp,Q39046155,0,False,nothing,0.18,1,1.0,1.0
74,Anthem Inc,Q677488,0,False,nothing,-55.64,-1,-1.0,-1.0
75,APA Group,Q20311412,0,False,nothing,0.2133333333333335,1,1.0,1.0
76,Apple Inc,Q312,0,False,nothing,-124.62029810298102,-1,0.21052631578947367,-0.5
77,Applied Materials Inc,Q621610,0,False,nothing,10.936,1,1.0,1.0
78,Aptiv PLC,Q643626,0,True,Apt iv s Diversity Equality Human Rights Policy here PERCENTAGE OF FEMALE REPRESENTATION IN APT IV S WORKFORCE Management Positions 27 Revenue Generating Functions 21 PEOPLE TABLE OF CONTENTS PRODUCT PLANET CORPORATE GOVERNANCE BOARD OF DIRECTORS 10 MISSION MEETS IMPACT MISSION MEETS IMPACT The passion our employees share to make the world safer greener and more connected doesnt stop when they go home at the end of the day,71.34,2,2.0,2.0
79,Aramark,Q625708,0,False,nothing,14.875000000000028,1,1.0,1.0
80,Arcadis NV,Q631507,0,False,nothing,22.23,1,1.0,1.0
81,ArcelorMittal SA,Q27893,0,False,nothing,32.19000000000001,1,1.0,1.0
82,Arista Networks Inc,Q2861324,0,True,Though we are continuing on our journey to achieve greater gender balance in the traditionally challenged technical e lds we have made sign i cant progress in non technical and spec ic ally with our Finance Legal and Marketing teams,44.55,2,2.0,2.0
83,Arkema SA,Q673327,0,True,Common ground r is a program characterizing all local actions taken by our sites to promote open dialogue with their different ENGAGEMENT EMPLOYEE DEVELOPMENT AND DIVERSITY 2025 TARGET 23 25 female senior management and directors Proportion of women among senior management and directors In 2019 we improved this indicator largely through our program put in place in 2016 to support equal opportunities and gender equality,14.31,2,2.0,2.0
84,Arkema SA,Q673327,0,True,SD G 5 Gender equality Our industry is predominantly male,14.31,2,2.0,2.0
85,Arkema SA,Q673327,0,True,This is why we have adopted proactive objectives by seeking to increase the proportion of women in senior management from 23 to 25 to 30 by 2030 compared to 23 in 2020 in order to promote gender diversity,14.31,2,-0.25,1.5
86,Asahi Kasei Corp,Q720489,0,False,nothing,40.78,1,1.0,1.0
87,Ashtead Group PLC,Q4805956,0,False,nothing,2.640000000000001,1,1.0,1.0
88,ASOS PLC,Q211951,0,False,nothing,-143.8341176470588,-1,-1.0,-1.0
89,Aspen Pharmacare Holdings Ltd,Q4807838,0,False,nothing,-4.5600000000000005,-1,-1.0,-1.0
90,Aspen Technology Inc,Q736091,0,False,nothing,59.92,1,1.0,1.0
91,Astellas Pharma Inc,Q528842,0,False,nothing,13.74,1,1.0,1.0
92,AstraZeneca PLC,Q731938,0,True,Achieve gender equality and empower all women and girls Our contribution We continue to focus on diversity and inclusion with a goal to increase the presence of women on our leadership teams,-141.06684131736526,0,0.0,0.0
93,Atlas Copco AB,Q757164,0,False,nothing,5.636666666666667,1,1.0,1.0
94,Australia & New Zealand Banking Group Ltd,Q714641,0,False,nothing,28.06357142857143,1,1.0,1.0
95,Auto Trader Group PLC,Q4826130,0,True,Although our gender pay gap went up in the year we are confident that the initiatives we are putting in place will re address the balance in the years to fair to say that most of our ES G strategy has been focused on our people our local communities and charities as well as how we behave as a responsible we have done some brilliant things specifically leading the charge on diversity and inclusion through our highly engaged group of employee guilds and networks,2.9450000000000003,2,2.0,2.0
96,Auto Trader Group PLC,Q4826130,0,True,We are also committed to ensuring everyone has equal opportunities to achieve their full potential as well as equal pay regardless of gender,2.9450000000000003,2,2.0,2.0
97,Auto Trader Group PLC,Q4826130,0,True,We will continue to look at the make up of every level of the organisation to ensure gender balance and also a balance of those that identify as BA ME disabled neuro diverse or as part of the LGBT community,2.9450000000000003,2,2.0,2.0
98,Autodesk Inc,Q628051,0,False,nothing,8.795714285714284,1,1.0,1.0
99,Avantor Inc,Q104842834,0,False,nothing,-16.240000000000002,-1,-1.0,-1.0
100,Avery Dennison Corp,Q790650,0,True,Our support of The Ocean Cleanup re ect s our belief that in nova on and sustainability go Empowerment Grant making in womens empowerment provides support for projects that address gender equality equity and op port unies in A very Dennison Trust Found a on Economic hardship is just one area that prevents many girls from gein g a good e duca on,3.0000000000000004,2,2.0,2.0
101,Avery Dennison Corp,Q790650,0,True,28 Goals Our in i al diversity and inclusion e or ts focused on gender diversity with a goal to achieve 40 female represent a on in manager and above roles by 2025,3.0000000000000004,2,2.0,2.0
102,Avis Budget Group Inc,Q2874395,0,False,nothing,143.35500000000002,1,1.0,1.0
103,Aviva PLC,Q791179,0,True,For that to happen we need an inclusive culture that attracts and keeps a diverse workforce of talented people representing every age race ability gender and sexual orientation and supports them to be at their Harmer Chief People Officer Creating a better Sustainability Summary,-19.676666666666662,0,0.0,0.0
104,AXA SA,Q160054,0,False,nothing,-13.36857142857143,-1,0.0,-0.5
105,Axalta Coating Systems Ltd,Q26215536,0,False,nothing,83.25142857142858,1,1.0,1.0
106,Axiata Group Bhd,Q792500,0,False,nothing,-21.54500000000001,-1,-1.0,-1.0
107,Axis Bank Ltd,Q2003549,0,False,nothing,-33.49,-1,-1.0,-1.0
108,Baidu Inc,Q14772,0,False,nothing,-28.59363636363636,-1,-1.0,-1.0
109,Bajaj Finance Ltd,Q28173355,0,True,Our support for Maharashtra and Rajasthan Promoting Gender Equality iii No Maharashtra and Rajasthan 200 10 No Kailash Satya rth i Childrens Foundation 5 Page S No File No,-6.525,0,0.0,0.0
110,Ball Corp,Q4034815,0,False,nothing,19.095,1,1.0,1.0
111,Ballard Power Systems Inc,Q474383,0,False,nothing,-5.52,-1,-1.0,-1.0
112,Banco Bilbao Vizcaya Argentaria SA,Q806189,0,False,nothing,-8.806363636363637,-1,-1.0,-1.0
113,Banco BTG Pactual SA,Q2877503,0,False,nothing,22.380000000000003,1,1.0,1.0
114,Banco Comercial Portugues SA,Q118581,0,False,nothing,-2.5600000000000005,-1,-1.0,-1.0
115,Banco de Sabadell SA,Q762330,0,False,nothing,-0.8800000000000001,-1,-1.0,-1.0
116,Banco do Brasil SA,Q610817,0,True,With regard to the challenge of ensuring great er proportionality of representation of gender and race in all hierarchical levels we adopted actions that integrate the Career Advance ment Program to stimulate greater part ic ipa tion of women in our managerial functions,-11.12153846153846,0,0.0,0.0
117,Banco Santander Chile,Q1094313,0,False,nothing,7.364999999999999,1,1.0,1.0
118,Banco Santander SA,Q6496310,0,False,nothing,-6.995,-1,-1.0,-1.0
119,Bancolombia SA,Q806206,0,False,nothing,-0.16,-1,-1.0,-1.0
120,Bandhan Bank Ltd,Q19882235,0,False,nothing,-7.300000000000001,-1,-1.0,-1.0
121,Bangkok Bank PCL,Q806483,0,False,nothing,31.69333333333333,1,1.0,1.0
122,Bank Negara Indonesia Persero Tbk PT,Q2882611,0,False,nothing,1035.7733333333335,1,1.0,1.0
123,Bank of America Corp,Q487907,0,False,nothing,-43.64059999999999,-1,-1.0,-1.0
124,Bank of China Ltd,Q790068,0,False,nothing,-55.577,-1,-1.0,-1.0
125,Bank of Ireland Group PLC,Q806689,0,False,nothing,6.038333333333331,1,1.0,1.0
126,Bank of Nova Scotia,Q451476,0,False,nothing,-44.322,-1,-1.0,-1.0
127,Bankinter SA,Q806808,0,False,nothing,-0.4666666666666666,-1,-1.0,-1.0
128,Barclays PLC,Q245343,0,False,nothing,-48.17829787234043,-1,-1.0,-1.0
129,BASF SE,Q9401,0,False,nothing,50.69625,1,1.0,1.0
130,Basler AG,Q810387,0,False,nothing,0.16,1,1.0,1.0
131,Bausch Health Cos Inc,Q1700871,0,True,Launching Employee Resource Groups ERGs designed to engage employees more directly in our ongoing DEI initiative while also fostering a sense of belonging growth development and informal networking Our first ERG The Womens Inclusive Network WIN focused on its purpose and mission to champion the hiring development well being retention and career opportunities for women and to assist in the achievement of their personal and professional aspirations,-9.75,0,0.0,0.0
132,Baxter International Inc,Q761965,0,False,nothing,25.83,1,1.0,1.0
133,Bayer AG,Q152051,0,False,nothing,-3.1923684210526337,-1,-1.0,-1.0
134,Bayerische Motoren Werke AG,Q26678,0,False,nothing,41.735416666666666,1,1.0,1.0
135,Beijing Enterprises Holdings Ltd,Q836569,0,True,The survey system and improve our employee enrich the cultural activities of pandemic and to care for their physical and mental health in special times BE HL organized various online competitions and quizzes on female employees rights company helps employees maintain a positive organizes Womens Day events Beijing Gas builds a Mind Lounge for employees We care for employees in need,-0.92,0,0.0,0.0
136,Belden Inc,Q815327,0,False,nothing,6.85,1,1.0,1.0
137,Berkshire Hathaway Inc,Q217583,0,False,nothing,-130.39,-1,0.21052631578947367,-0.5
138,Berry Global Group Inc,Q4894819,0,False,nothing,2.28,1,1.0,1.0
139,Bharat Petroleum Corp Ltd,Q854826,0,False,nothing,-2.492,-1,-1.0,-1.0
140,Bharti Airtel Ltd,Q854867,0,False,nothing,-16.794999999999998,-1,-1.0,-1.0
141,BHP Group Ltd,Q625713,0,False,nothing,-15.334166666666668,-1,-1.0,-1.0
142,BHP Group PLC,Q625713,0,False,nothing,-7.83,-1,-1.0,-1.0
143,Biffa PLC,Q4904749,0,False,nothing,48.260000000000005,1,0.5,1.0
144,Big Yellow Group PLC,Q4906703,0,False,nothing,6.23,1,1.0,1.0
145,Biotage AB,Q10429829,0,False,nothing,0.0,-1,-1.0,-1.0
146,Blackbaud Inc,Q4922539,0,False,nothing,48.11,1,1.0,1.0
147,BNP Paribas SA,Q499707,0,False,nothing,31.253125,1,1.0,1.0
148,Bombardier Inc,Q333498,0,False,nothing,31.168999999999997,1,1.0,1.0
149,Booking Holdings Inc,Q18674747,0,False,nothing,-1.7000000000000002,-1,-1.0,-1.0
150,Boralex Inc,Q2910597,0,False,nothing,84.6,1,1.0,1.0
151,Boston Properties Inc,Q4844439,0,False,nothing,2.32,1,0.5,1.0
152,Boston Scientific Corp,Q894585,0,False,nothing,-28.885,-1,-1.0,-1.0
153,BP PLC,Q152057,0,False,nothing,-111.93764705882352,-1,-1.0,-1.0
154,Braskem SA,Q899395,0,False,nothing,-75.96,-1,-1.0,-1.0
155,BRF SA,Q899097,0,True,IS E Bo vespa Dow Jones Sustainability Index among others and the development of five focal groups in Brazil one focal group in Argentina one focal group in Dubai as well as internal interviews and surveys with employees in our European and Asian the complexity and scope of the subject the aspects addressed in this study were gender generations and the last three years BRF has advanced in topics associated with equal opportunities considering the evolution of comparative wages between 2017 along with strategic areas of the business we defined a new diversity positioning for the Company and developed a strategic plan based on four pillars Areas to promote diversity of ideas in the search for innovative solutions,3.3199999999999985,2,2.0,2.0
156,Bridgestone Corp,Q179433,0,False,nothing,54.42,1,0.0,0.5
157,Bristol-Myers Squibb Co,Q266423,0,True,We believe we are on track to achieve this goal by the end of 2022 supporting our recently announced commitment to global gender parity at the executive executive representation by gender Gender was not reported by the following number of employees and therefore not the charts to the left Manager 2018 4,-36.30555555555556,0,0.0,0.0
158,Bristol-Myers Squibb Co,Q266423,0,True,Upon achieving this milestone our focus shifted to ensuring global gender parity at the executive level,-36.30555555555556,0,0.0,0.0
159,British American Tobacco Malaysia Bhd,Q856411,0,False,nothing,0.0640000000000004,1,1.0,1.0
160,British American Tobacco PLC,Q856411,0,True,As a leading international employer we are proud of our supportive and People and culture 5 Gender equality Having a diverse inclusive work culture creates a productive high performing workplace for all,0.0640000000000004,2,2.0,2.0
161,Britvic PLC,Q4971696,0,False,nothing,32.980000000000004,1,1.0,1.0
162,Broadcom Inc,Q4827416,0,False,nothing,42.9,1,1.0,1.0
163,BT Group PLC,Q593786,0,True,We ve also looked at where the ICT industry can make the most difference using guidance from the World Summit on the Information Society and we ve mapped our own ambitions against the Global Goals to see where were already aligned see graphic more at poverty its forms hunger achieve food security and improved nutrition and promote sustainable healthy lives and promote well being for all inclusive and equitable quality education and promote lifelong learning gender equality and empower all women and availability and sustainable water and sanitation for access to affordable reliable sustainable and modern sustained inclusive and sustainable economic growth full and productive employment and decent work for resilient infrastructure promote inclusive and sustainable industrialization and foster inequality within and among cities and human settlements inclusive safe resilient and sustainable consumption and production urgent action to combat climate change and its and sustain ably use the oceans seas and marine resources for sustainable restore and promote sustainable terrestrial ecosystems sustain ably manage forests combat desertification and halt and reverse land degradation and halt biodiversity peaceful and inclusive societies for sustainable development provide access to justice for all and build effective inclusive institutions at all the means of implementation and revitalize the global,-298.4031578947368,0,0.0,0.0
164,BT Group PLC,Q593786,0,True,We ve introduced targets on DoP Creating an inclusive workplace page 1 Diversity of governance bodies and employees AR Diversity of the Board page 138 DoP Promoting gender balance page 54 and BT people data in our Download Centre 405 2 Ratio of basic salary and remuneration of women to men DoP Promoting gender balance page Non discrimination GRI 103 Management approach We respect the dignity liberty and equality of everyone we work with,-298.4031578947368,0,0.0,0.0
165,BYD Co Ltd,Q2608329,0,False,nothing,57.46,1,0.21052631578947367,1.0
166,CA Immobilien Anlagen AG,Q1022921,0,True,Aside from professional qualifications the recruitment process adheres to a policy of non discrimination between women and men,0.0,0,0.0,0.0
167,CA Immobilien Anlagen AG,Q1022921,0,True,Aside from professional qualifications the recruitment process adheres to a strict policy of non discrimination between women and men,0.0,0,0.0,0.0
168,Cal-Maine Foods Inc,Q5018092,0,False,nothing,14.625,1,1.0,1.0
169,Campbell Soup Co,Q1030544,0,False,nothing,5.935000000000002,1,1.0,1.0
170,Canfor Corp,Q1033165,0,False,nothing,26.26,1,1.0,1.0
171,Capital One Financial Corp,Q1034654,0,False,nothing,165.88875000000002,1,1.0,1.0
172,CapitaLand Ltd,Q3272868,0,False,nothing,39.55,1,1.0,1.0
173,Carlsberg AS,Q113215,0,True,IMPROVING GENDER BALANCE We believe that getting the gender balance right will pave the way for more diverse representation across our company,37.94,2,2.0,2.0
174,Carrefour SA,Q3117359,0,True,35 of womens top managers by certification for gender equality in all countries GOOD HEALTH controversial the quality and safety of Carrefour products,-9.728260869565217,0,0.0,0.0
175,Cascades Inc,Q544004,0,False,nothing,-10.56,-1,-1.0,-1.0
176,Catalent Inc,Q19866242,0,False,nothing,8.045000000000002,1,1.0,1.0
177,CBRE Group Inc,Q1023013,0,False,nothing,5.492727272727271,1,1.0,1.0
178,CCR SA,Q1121225,0,False,nothing,-1.3200000000000005,-1,-1.0,-1.0
179,CD Projekt SA,Q7098994,0,False,nothing,-101.183,-1,-1.0,-1.0
180,Celanese Corp,Q547450,0,False,nothing,12.055,1,1.0,1.0
181,Cemex SAB de CV,Q1053348,0,False,nothing,44.580000000000005,1,1.0,1.0
182,Centrica PLC,Q259013,0,False,nothing,-21.072857142857146,-1,-1.0,-1.0
183,Cerner Corp,Q1055390,0,False,nothing,20.895000000000003,1,1.0,1.0
184,CF Industries Holdings Inc,Q905806,0,False,nothing,-1.5499999999999998,-1,-1.0,-1.0
185,Charter Communications Inc,Q2961234,0,False,nothing,-60.09800000000001,-1,0.21052631578947367,-0.5
186,Chegg Inc,Q5089544,0,False,nothing,-258.03,-1,-1.0,-1.0
187,Chevron Corp,Q319642,0,False,nothing,-246.9825,-1,-1.0,-1.0
188,China Everbright Environment Group Ltd,Q10890263,0,False,nothing,12.32,1,1.0,1.0
189,China Hongqiao Group Ltd,Q10874559,0,False,nothing,-1.08,-1,-1.0,-1.0
190,China Merchants Bank Co Ltd,Q1073327,0,False,nothing,-0.2850000000000001,-1,-1.0,-1.0
191,China Merchants Port Holdings Co Ltd,Q268784,0,False,nothing,4.870000000000001,1,1.0,1.0
192,China Resources Gas Group Ltd,Q5099882,0,False,nothing,0.0,-1,-1.0,-1.0
193,China Resources Land Ltd,Q5099887,0,False,nothing,-0.5,-1,-1.0,-1.0
194,China Traditional Chinese Medicine Holdings Co Ltd,Q27892807,0,False,nothing,4.847857142857142,1,0.0,0.5
195,China Vanke Co Ltd,Q861340,0,False,nothing,-33.35,-1,-1.0,-1.0
196,Chubb Ltd,Q1089060,0,True,In implementing Chubb Culture we provide equal opportunity for employment and capacity building in the context that the Company does not discriminate on the basis of background gender age ethnicity religion and race,14.559999999999995,2,2.0,2.0
197,Chugai Pharmaceutical Co Ltd,Q750619,0,False,nothing,-20.72,-1,-1.0,-1.0
